No,Direction,Time_Scale,Frame_Type,Frame_Format,Frame_ID,Data_Length,ByteA,ByteB,ByteC,ByteD,ByteE,ByteF,ByteG,ByteH,,
,,,,,,,,,,,,,,
65,Receive,18:47:46:085,Data frame,Standard frame,465,8,ff,ff,00,ff,ff,4e,4e,ff
66,Receive,18:47:46:089,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00
67,Receive,18:47:46:093,Data frame,Standard frame,467,8,00,00,00,00,00,00,00,00
68,Receive,18:47:46:096,Data frame,Standard frame,468,8,00,00,00,00,00,00,00,00
69,Receive,18:47:46:101,Data frame,Standard frame,469,8,00,00,00,00,00,00,00,00
70,Receive,18:47:46:104,Data frame,Standard frame,251,8,1e,0a,00,00,00,00,00,00
71,Receive,18:47:46:108,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
72,Receive,18:47:46:113,Data frame,Standard frame,422,8,00,04,00,10,20,00,04,0a
73,Receive,18:47:46:116,Data frame,Standard frame,423,8,00,00,00,00,00,00,00,00
74,Receive,18:47:46:120,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
75,Receive,18:47:46:124,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
76,Receive,18:47:46:128,Data frame,Standard frame,400,8,27,14,b4,ff,aa,64,64,04
77,Receive,18:47:46:131,Data frame,Standard frame,450,8,35,07,35,05,ff,0f,ff,0f
78,Receive,18:47:46:135,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
79,Receive,18:47:46:138,Data frame,Standard frame,410,8,00,ff,19,19,ff,ff,ff,ff
80,Receive,18:47:46:142,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
81,Receive,18:47:46:146,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
82,Receive,18:47:46:149,Data frame,Standard frame,450,8,35,07,35,05,ff,0f,ff,0f
83,Receive,18:47:46:153,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
84,Receive,18:47:46:156,Data frame,Standard frame,420,8,08,04,40,10,28,00,04,0a
85,Receive,18:47:46:160,Data frame,Standard frame,421,8,00,01,00,00,00,00,00,00
86,Receive,18:47:46:165,Data frame,Standard frame,460,8,00,00,a6,00,cd,01,4d,01
87,Receive,18:47:46:169,Data frame,Standard frame,461,8,00,32,ff,3f,38,38,aa,00
88,Receive,18:47:46:174,Data frame,Standard frame,462,8,00,00,00,00,3a,00,00,00
89,Receive,18:47:46:177,Data frame,Standard frame,463,8,e8,03,e8,03,00,00,00,00
90,Receive,18:47:46:181,Data frame,Standard frame,464,8,53,ff,ff,ff,ff,73,19,19
91,Receive,18:47:46:184,Data frame,Standard frame,465,8,ff,ff,00,ff,ff,4e,4e,ff
92,Receive,18:47:46:188,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00
93,Receive,18:47:46:192,Data frame,Standard frame,467,8,00,00,00,00,00,00,00,00
94,Receive,18:47:46:196,Data frame,Standard frame,468,8,00,00,00,00,00,00,00,00
95,Receive,18:47:46:199,Data frame,Standard frame,469,8,00,00,00,00,00,00,00,00
96,Receive,18:47:46:203,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
97,Receive,18:47:46:207,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
98,Receive,18:47:46:211,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
99,Receive,18:47:46:214,Data frame,Standard frame,450,8,34,07,34,05,ff,0f,ff,0f
100,Receive,18:47:46:218,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
101,Receive,18:47:46:222,Data frame,Standard frame,251,8,1e,0a,00,00,00,00,00,00
102,Receive,18:47:46:226,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
103,Receive,18:47:46:230,Data frame,Standard frame,202,8,d9,00,00,00,00,00,00,00
104,Receive,18:47:46:233,Data frame,Standard frame,400,8,27,14,b4,ff,aa,64,64,04
105,Receive,18:47:46:237,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
106,Receive,18:47:46:240,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
107,Receive,18:47:46:244,Data frame,Standard frame,450,8,35,07,35,05,ff,0f,ff,0f
108,Receive,18:47:46:248,Data frame,Standard frame,460,8,00,00,a6,00,cd,01,4d,01
109,Receive,18:47:46:252,Data frame,Standard frame,461,8,00,32,ff,3f,38,38,aa,00
110,Receive,18:47:46:255,Data frame,Standard frame,462,8,00,00,00,00,3a,00,00,00
111,Receive,18:47:46:259,Data frame,Standard frame,463,8,e8,03,e8,03,00,00,00,00
112,Receive,18:47:46:263,Data frame,Standard frame,464,8,53,ff,ff,ff,ff,73,19,19
113,Receive,18:47:46:267,Data frame,Standard frame,465,8,ff,ff,00,ff,ff,4e,4e,ff
114,Receive,18:47:46:270,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00
115,Receive,18:47:46:275,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
116,Receive,18:47:46:278,Data frame,Standard frame,467,8,00,00,00,00,00,00,00,00
117,Receive,18:47:46:282,Data frame,Standard frame,468,8,00,00,00,00,00,00,00,00
118,Receive,18:47:46:285,Data frame,Standard frame,469,8,00,00,00,00,00,00,00,00
119,Receive,18:47:46:289,Data frame,Standard frame,410,8,00,ff,19,19,ff,ff,ff,ff
120,Receive,18:47:46:293,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
121,Receive,18:47:46:297,Data frame,Standard frame,451,8,0a,ff,ff,3f,5b,7a,00,e0
122,Receive,18:47:46:300,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
123,Receive,18:47:46:304,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
124,Receive,18:47:46:308,Data frame,Standard frame,450,8,34,07,35,05,ff,0f,ff,0f
125,Receive,18:47:46:311,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
126,Receive,18:47:46:315,Data frame,Standard frame,201,8,00,00,00,00,00,00,00,00
127,Receive,18:47:46:318,Data frame,Standard frame,460,8,00,00,a6,00,cd,01,4d,01
128,Receive,18:47:46:322,Data frame,Standard frame,461,8,00,32,ff,3f,38,38,aa,00
129,Receive,18:47:46:325,Data frame,Standard frame,462,8,00,00,00,00,3a,00,00,00
130,Receive,18:47:46:329,Data frame,Standard frame,463,8,e8,03,e8,03,00,00,00,00
131,Receive,18:47:46:333,Data frame,Standard frame,464,8,53,ff,ff,ff,ff,73,19,19
132,Receive,18:47:46:336,Data frame,Standard frame,465,8,ff,ff,00,ff,ff,4e,4e,ff
133,Receive,18:47:46:340,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00
134,Receive,18:47:46:344,Data frame,Standard frame,467,8,00,00,00,00,00,00,00,00
135,Receive,18:47:46:347,Data frame,Standard frame,468,8,00,00,00,00,00,00,00,00
136,Receive,18:47:46:351,Data frame,Standard frame,469,8,00,00,00,00,00,00,00,00
137,Receive,18:47:46:355,Data frame,Standard frame,251,8,1e,0a,00,00,00,00,00,00
138,Receive,18:47:46:361,Data frame,Standard frame,430,8,00,00,00,00,38,38,ff,0f
139,Receive,18:47:46:364,Data frame,Standard frame,440,8,0e,29,0e,29,00,00,00,00
140,Receive,18:47:46:368,Data frame,Standard frame,450,8,34,07,34,05,ff,0f,ff,0f
